timestamp,value
1445070929528,1.0
1445070937030,1.0
1445070938448,1.0
1445070955634,-1.0
1445071039285,1.0
1445071063892,-1.0
1445071065409,-1.0
1445071081919,-1.0
1445071085719,1.0
1445071096849,-1.0
1445071106116,1.0
1445071107216,1.0
1445071124147,1.0
1445071151286,-1.0
1445071166937,-1.0
1445071186999,-1.0
1445071194096,-1.0
1445071217567,1.0
1445071240893,-1.0
1445071242858,1.0
1445071247418,-1.0
1445071265828,-1.0
1445071299460,1.0
1445071317448,-1.0
1445071321712,-1.0
1445071342143,-1.0
1445071344343,1.0
1445071350176,1.0
1445071356323,-1.0
1445071374544,-1.0
1445071407415,-1.0
1445071409716,-1.0
1445071413665,-1.0
1445071420514,1.0
1445071421899,-1.0
1445071444995,1.0
1445071465370,-1.0
1445071476581,-1.0
1445071499039,1.0
1445071502438,-1.0
1445071520303,1.0
1445071529066,1.0
1445071531799,-1.0
1445071535316,1.0
1445071541648,-1.0
1445071571214,1.0
1445071576980,-1.0
1445071612450,1.0
1445071616019,-1.0
1445071622482,-1.0
1445071624455,-1.0
1445071628099,1.0
1445071633059,1.0
1445071639670,-1.0
1445071641685,1.0
1445071670839,-1.0
1445071674873,-1.0
1445071678295,1.0
1445071693930,1.0
1445071696397,-1.0
1445071710286,-1.0
1445071714354,-1.0
1445071715637,1.0
1445071733410,-1.0
1445071748629,-1.0
1445071762118,-1.0
1445071766550,-1.0
1445071768117,-1.0
1445071774368,1.0
1445071779421,-1.0
1445071782284,-1.0
1445071784769,1.0
1445071792137,-1.0
1445071800020,1.0
1445071802385,-1.0
1445071814449,1.0
1445071822679,1.0
1445071832648,1.0
1445071837445,1.0
1445071843577,1.0
1445071848744,1.0
1445071851809,1.0
1445071869262,1.0
1445071875399,1.0
1445071884201,1.0
1445071891705,-1.0
1445071903042,1.0
1445071905361,1.0
1445071911847,-1.0
1445071915283,1.0
1445071920000,-1.0
1445071934253,-1.0
1445071935471,-1.0
1445071940590,-1.0
1445071959128,1.0
1445071973612,-1.0
1445071975682,1.0
1445071985678,1.0
1445071988262,1.0
1445072012730,1.0
1445072053892,-1.0
1445072057327,1.0
1445072062529,-1.0
1445072072452,-1.0
1445072073589,1.0
1445072080421,1.0
1445072083556,1.0
1445072090472,1.0
1445072103895,1.0
1445072119831,1.0
1445072125783,1.0
1445072136540,1.0
1445072144455,1.0
1445072151808,-1.0
1445072157122,1.0
1445072166990,1.0
1445072177561,1.0
1445072184659,1.0
1445072185792,1.0
1445072187292,1.0
1445072200766,-1.0
1445072209370,-1.0
1445072213772,-1.0
1445072219291,-1.0
1445072221526,1.0
1445072224143,-1.0
1445072252609,-1.0
1445072262294,1.0
1445072275182,-1.0
1445072276464,1.0
1445072293118,1.0
1445072303885,1.0
1445072306686,1.0
1445072314788,1.0
1445072320692,-1.0
1445072332683,-1.0
1445072338567,-1.0
1445072341668,1.0
1445072353735,-1.0
1445072357919,-1.0
1445072360121,-1.0
1445072368240,-1.0
1445072375459,-1.0
1445072381226,1.0
1445072398812,1.0
1445072405662,1.0
1445072418467,-1.0
1445072429647,-1.0
1445072433634,1.0
1445072436567,-1.0
1445072454665,-1.0
1445072467378,-1.0
1445072480068,-1.0
1445072481767,1.0
1445072486951,-1.0
1445072499675,-1.0
1445072501626,1.0
1445072504845,1.0
1445072521946,1.0
1445072524546,1.0
1445072527595,-1.0
1445072528981,-1.0
1445072551660,1.0
1445072553792,-1.0
1445072556159,1.0
1445072561691,-1.0
1445072562839,1.0
1445072576402,1.0
1445072587749,1.0
1445072633862,-1.0
1445072648152,-1.0
1445072669595,-1.0
1445072702163,1.0
1445072731534,1.0
1445072744032,-1.0
1445072758086,-1.0
1445072760919,-1.0
1445072765938,1.0
1445072793914,-1.0
1445072797998,-1.0
1445072802633,1.0
1445072833637,1.0
1445072837085,-1.0
1445072855760,1.0
1445072868711,1.0
1445072871728,-1.0
1445072873395,1.0
1445072904600,1.0
1445072909248,-1.0
1445072917261,-1.0
1445072921877,1.0
1445072927401,-1.0
1445072935213,-1.0
1445072948913,1.0
1445072963980,-1.0
1445072981207,1.0
1445072993296,-1.0
1445073016766,1.0
1445073023953,1.0
1445073025220,-1.0
1445073030070,-1.0
1445073048424,-1.0
1445073074960,1.0
1445073076242,-1.0
1445073082162,-1.0
1445073094181,-1.0
1445073101554,1.0
1445073130914,1.0
1445073136063,1.0
1445073137397,1.0
1445073159749,1.0
1445073217372,1.0
1445073226502,-1.0
1445073228669,-1.0
1445073236269,-1.0
1445073239570,-1.0
1445073276120,1.0
1445073278935,-1.0
1445073280935,-1.0
1445073316424,-1.0
1445073351687,-1.0
1445073364448,-1.0
1445073378093,-1.0
1445073383241,1.0
1445073411419,1.0
1445073447861,-1.0
1445073459943,1.0
1445073469862,-1.0
1445073504712,-1.0
1445073528038,1.0
1445073533737,-1.0
1445073548957,1.0
1445073561545,1.0
1445073562794,-1.0
1445073572895,-1.0
1445073616058,1.0
1445073643347,1.0
1445073703870,1.0
1445073713414,-1.0
1445073737835,1.0
1445073742868,1.0
1445073753194,1.0
1445073778565,-1.0
1445073785302,1.0
1445073789219,-1.0
1445073792708,1.0
1445073803306,-1.0
1445073810976,1.0
1445073821064,1.0
1445073870026,-1.0
1445073906277,-1.0
1445073918774,-1.0
1445073928790,1.0
1445073950623,1.0
1445073963281,1.0
1445073987565,-1.0
1445073995318,1.0
1445074015105,1.0
1445074017920,-1.0
1445074028390,1.0
1445074034710,-1.0
1445074060146,1.0
1445074065611,1.0
1445074074044,1.0
1445074077611,-1.0
1445074093406,-1.0
1445074109264,-1.0
1445074112348,-1.0
1445074140026,1.0
1445074145773,-1.0
1445074148059,-1.0
1445074151879,1.0
1445074155007,1.0
1445074163340,1.0
1445074171939,-1.0
1445074176142,1.0
1445074177490,1.0
1445074182874,1.0
1445074199534,1.0
1445074213952,-1.0
1445074220122,-1.0
1445074229489,1.0
1445074240774,1.0
1445074251758,-1.0
1445074254176,1.0
1445074257659,1.0
1445074268062,1.0
1445074276784,-1.0
1445074279270,-1.0
1445074281634,-1.0
1445074283483,-1.0
1445074286699,1.0
1445074307882,-1.0
1445074317017,-1.0
1445074327499,-1.0
1445074340720,1.0
1445074365100,1.0
1445074396644,-1.0
1445074400275,1.0
1445074406358,-1.0
1445074416189,-1.0
1445074418008,-1.0
1445074422124,-1.0
1445074432277,-1.0
1445074447398,-1.0
1445074466853,-1.0
1445074490028,-1.0
1445074492942,-1.0
1445074510872,1.0
1445074515188,-1.0
1445074533415,1.0
1445074539930,-1.0
1445074548725,-1.0
1445074567685,-1.0
1445074580785,-1.0
1445074588223,-1.0
1445074592656,1.0
1445074625992,1.0
1445074629457,-1.0
1445074646139,1.0
1445074650826,-1.0
1445074652112,1.0
1445074654995,-1.0
1445074662961,-1.0
1445074668168,-1.0
1445074678087,-1.0
1445074698204,1.0
1445074708175,1.0
1445074717843,-1.0
1445074749365,-1.0
1445074759300,1.0
1445074760467,-1.0
1445074776984,-1.0
1445074784619,-1.0
1445074789868,-1.0
1445074793318,1.0
1445074802270,-1.0
1445074821905,1.0
1445074823038,-1.0
1445074832709,-1.0
1445074839443,1.0
1445074841144,-1.0
1445074844393,1.0
1445074872318,-1.0
1445074873723,-1.0
1445074879488,-1.0
1445074942487,-1.0
1445074953271,1.0
1445074961352,1.0
1445074988918,1.0
1445075000248,-1.0
1445075038251,1.0
1445075054364,1.0
1445075104014,-1.0
1445075111503,-1.0
1445075123331,1.0
1445075125816,1.0
1445075130534,-1.0
1445075131932,1.0
1445075133666,1.0
1445075136436,1.0
1445075152703,-1.0
1445075155455,-1.0
1445075160453,-1.0
1445075167669,1.0
1445075174469,-1.0
1445075181136,-1.0
1445075190182,1.0
1445075216884,1.0
1445075219151,1.0
1445075224502,1.0
1445075250697,1.0
1445075260730,-1.0
1445075279184,-1.0
1445075323394,-1.0
1445075324828,1.0
1445075345161,-1.0
1445075346477,-1.0
1445075365395,-1.0
1445075388198,1.0
1445075407952,-1.0
1445075415419,1.0
1445075417269,1.0
1445075420188,-1.0
1445075436454,-1.0
1445075442970,-1.0
1445075466664,-1.0
1445075472178,-1.0
1445075494924,1.0
1445075507161,1.0
1445075513018,1.0
1445075529145,1.0
1445075539678,-1.0
1445075544180,1.0
1445075546064,-1.0
1445075578584,-1.0
1445075611314,1.0
1445075617181,1.0
1445075650114,-1.0
1445075651213,1.0
1445075664666,1.0
1445075666800,1.0
1445075669951,-1.0
1445075683554,-1.0
1445075694536,-1.0
1445075700268,1.0
1445075722725,1.0
1445075743273,-1.0
1445075746899,1.0
1445075752039,1.0
1445075760290,1.0
1445075761606,-1.0
1445075764907,1.0
1445075777759,-1.0
1445075784140,1.0
1445075785674,-1.0
1445075793729,-1.0
1445075795247,-1.0
1445075799549,1.0
1445075801199,1.0
1445075806911,-1.0
1445075816156,1.0
1445075820789,1.0
1445075830741,1.0
1445075838529,1.0
1445075854831,-1.0
1445075863167,-1.0
1445075869198,-1.0
1445075893036,-1.0
1445075913816,1.0
1445075918335,1.0
1445075924716,-1.0
1445075938704,1.0
1445075942203,1.0
1445075948038,1.0
1445075963887,-1.0
1445075972604,1.0
1445075975223,-1.0
1445075977753,-1.0
1445075979874,-1.0
1445075986875,1.0
1445075992068,-1.0
1445076001884,1.0
1445076006884,1.0
1445076026814,1.0
1445076037299,1.0
1445076055767,1.0
1445076063256,-1.0
1445076072776,1.0
1445076076455,1.0
1445076081625,-1.0
1445076107668,-1.0
1445076110496,1.0
1445076115732,1.0
1445076120783,1.0
1445076139067,1.0
1445076145820,1.0
1445076147052,1.0
1445076166944,-1.0
1445076172521,1.0
1445076200406,1.0
1445076220253,1.0
1445076257621,1.0
1445076271870,-1.0
1445076284469,-1.0
1445076297566,1.0
1445076307201,-1.0
1445076338092,-1.0
1445076344838,-1.0
1445076350121,1.0
1445076354686,-1.0
1445076390949,-1.0
1445076408113,1.0
1445076411930,-1.0
1445076414882,1.0
1445076416628,1.0
1445076425116,1.0
1445076426361,1.0
1445076454567,-1.0
1445076474275,-1.0
1445076493473,1.0
1445076509923,-1.0
1445076515955,-1.0
1445076541130,1.0
1445076542263,1.0
1445076547766,-1.0
1445076551637,-1.0
1445076555767,1.0
1445076572597,1.0
1445076588464,1.0
1445076594014,1.0
1445076596465,-1.0
1445076609132,-1.0
1445076614731,-1.0
1445076622234,-1.0
1445076656980,1.0
1445076663251,1.0
1445076679841,-1.0
1445076688893,-1.0
1445076697814,-1.0
1445076723134,1.0
1445076740295,1.0
1445076746378,-1.0
1445076754964,1.0
1445076779070,-1.0
1445076781984,-1.0
